<http://codes.wmo.int/def/common/code_figure>,<http://codes.wmo.int/def/common/wmoAbbreviation>,<http://codes.wmo.int/def/common/wmoAbbreviationIA2>,<http://codes.wmo.int/def/common/wmoAbbreviationIA5>,@id,dct:definition,rdf:type,rdfs:label,skos:altLabel,skos:notation,skos:prefLabel
'530',hPa,hPa,HPAL,<http://codes.wmo.int/common/unit/hPa>,"",<http://codes.wmo.int/def/common/Unit>|skos:Concept,hectopascal,hPa,hPa,hectopascal
'533',hPa/3 h,hPa/3 h,HPAL/3 HR,<http://codes.wmo.int/common/unit/hPa_-1>,"",<http://codes.wmo.int/def/common/Unit>|skos:Concept,hectopascals per 3 hours,hPa/3 h,hPa/3 h,hectopascals per 3 hours
'532',hPa h^-1,hPa/h,HPAL/HR,<http://codes.wmo.int/common/unit/hPa_h-1>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,hectopascals per hour,hPa h^-1,hPa/h,hectopascals per hour
'531',hPa s^-1,hPa/s,HPAL/S,<http://codes.wmo.int/common/unit/hPa_s-1>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,hectopascals per second,hPa s^-1,hPa/s,hectopascals per second
no,h,h,H,<http://codes.wmo.int/common/unit/h_pref>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,hecto,h,h,hecto
'220',ha,ha,HAR,<http://codes.wmo.int/common/unit/ha>,"",<http://codes.wmo.int/def/common/Unit>|skos:Concept,hectare,ha,ha,hectare
'801',kPa,kPa,"",<http://codes.wmo.int/common/unit/kPa>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,kilopascal,kPa,kPa,kilopascal
no,k,k,K,<http://codes.wmo.int/common/unit/k_pref>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,kilo,k,k,kilo
'002',kg,kg,KG,<http://codes.wmo.int/common/unit/kg>,"",<http://codes.wmo.int/def/common/Unit>|skos:Concept,kilogram,kg,kg,kilogram
'778',kg^-2 s^-1,kg-2 s-1,"",<http://codes.wmo.int/common/unit/kg-2_s-1>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,per square kilogram per second,kg^-2 s^-1,kg-2 s-1,per square kilogram per second
